lp,Temp,CaO,MgO,SiO2,Fe_total,MnO,Al2O3,TiO2,V2O5
4.880273476,1628,43.4,8.28,9.1,22.2,3.93,2.07,0.72,1.861
4.86753445,1628,40.7,8.52,10.4,21.6,4.5,1.83,0.84,2.199
4.95347688,1628,46.5,8.74,9.8,19,3.8,2.29,0.73,2.036
4.690327994,1640,49.5,9.5,12.5,14.5,3.84,2.71,0.97,2.398
4.991403932,1627,45.9,7.65,12.9,17.7,4.2,2.23,1.01,2.551
4.805840881,1625,50.3,8.35,12.9,12.7,3.89,2.21,1.05,2.81
4.777020443,1634,45.2,8.28,13.3,17.4,4.4,2.5,1.08,2.393
4.574710979,1641,44.6,9.53,12.9,17,4.26,2.65,1.03,2.317
4.18531634,1669,48,9.85,11.1,15.9,4.18,1.85,0.94,2.389
4.291512627,1671,48.9,9.33,12,15.5,4.03,2.31,1.01,2.51
4.27864828,1673,43.8,9.51,15.5,14.2,4.68,2.4,1.5,2.291
4.700480366,1652,48.1,8.31,11.1,18.6,4,2.62,0.97,2.523
3.818932582,1665,40.1,11.17,11.1,20.7,3.87,2.05,0.81,1.905
4.666863755,1658,50.9,7.53,13.7,12,4.18,1.96,1.17,3.075
4.066173685,1654,45.4,8.76,11.5,17.6,4.52,2.52,0.93,2.637
4.322603214,1628,41.3,11.1,10.6,19.3,4.6,2.23,0.87,2.362
4.371555335,1635,44.8,12.14,11.4,14.7,4.67,2.46,0.86,2.247
4.382026635,1651,43.6,10.45,11.4,17.7,4.61,2.38,0.87,2.28
4.605170186,1665,52.4,11.47,14.2,25.2,5.57,2.73,1.05,2.785
4.509860006,1642,42.1,9.55,11.7,19.3,4.35,1.87,0.91,2.435
4.364008129,1654,50.3,8.2,13,12.6,3.86,2.21,1.05,2.818
4.848116365,1630,45.3,9.94,11.7,15.7,4.37,3.04,0.96,2.597
4.976733742,1634,43.1,9.39,10.6,20,4.2,2.11,0.84,2.107
4.519810337,1652,47.8,9.83,12.2,14.3,4.52,2.09,1.02,2.505
4.775515552,1615,46.8,9.8,9.7,18.1,3.86,1.41,0.86,2.151
4.86753445,1638,44,8.8,10.7,20,3.98,2.42,0.92,1.909
4.449165938,1631,41,7.78,10.5,22.2,3.91,2.87,0.85,1.975
4.33946702,1640,44.5,9.12,14.1,18.6,3.33,2.9,0.44,1.153
4.527208645,1649,41.3,10.07,11.1,21,4.01,1.61,0.83,1.804
4.899969726,1629,46.4,9.42,11.2,17.7,4.37,1.8,0.97,2.213
4.700480366,1630,40.7,10.88,9.9,21,4.5,2.77,0.91,2.061
4.040855877,1647,42.5,8.59,12.6,19.1,4.24,2.51,1.05,2.238
4.33946702,1646,44.4,8.3,12.6,17.5,4.33,2.17,1.05,2.281
4.845311314,1634,39.6,7.31,12.4,22,4.48,2.27,1.04,2.132
3.784189634,1657,39.3,8.43,11.2,22.2,4.51,1.9,0.92,2.108
4.104100737,1669,47,10.62,15.6,10.8,4.42,2.19,1.34,2.861
4.226272105,1678,48.5,9.96,12.4,14.4,3.67,1.88,0.98,2.258
5.036952602,1633,45.6,9.58,10,19.9,3.37,1.7,0.84,1.87
3.995904489,1667,49.6,9.86,12.8,13.8,3.61,2.13,1.05,2.25
4.660740037,1646,48.2,8.68,10.1,18.6,3.39,1.83,0.79,1.775
4.561367563,1665,48.2,10.22,9.9,20.2,3.19,2.18,0.68,1.57
4.353855758,1661,49.7,10.37,9.7,16.9,3.85,1.75,0.81,1.719
4.343805422,1660,49.7,10.23,11.7,14.2,4.42,1.66,0.79,1.93
4.564348191,1652,46.3,9.23,12.2,16.8,4.15,2.03,1.06,2.423
4.86753445,1637,44.8,8.14,11.4,19.2,4.03,2.24,0.92,2.207
4.08035832,1692,43.4,11.02,9.3,19.6,3.68,1.56,0.77,1.784
