lp,Temp,CaO,MgO,SiO2,Fe_total,MnO,Al2O3,TiO2,V2O5
4.465908119,1631,39.6,8.48,14,19.7,5.65,2.4,1.11,2.742
4.001971242,1653,40,8.96,14.6,16.4,5.4,1.82,1.11,2.883
4.10617902,1649,38.5,9.98,14.9,17.3,5.47,1.91,1.18,2.74
4.382026635,1634,41.5,6.98,15.9,17.6,5.89,1.75,1.37,2.928
4.477336814,1639,39,6.91,13.5,20.9,5.73,2.07,1.17,2.832
4.402645922,1621,40.4,7.23,14.4,17.5,5.84,2.36,1.28,2.989
4.051784948,1646,38.8,7.96,15.9,17.5,6.66,1.88,1.35,3.134
4.191983032,1652,41,7.05,14.5,19,5.56,2.27,1.24,2.789
4.8978398,1625,37.7,7.59,10.1,25.4,4.5,2.56,0.91,2.071
4.605170186,1645,40,9.69,10.8,21.9,4.6,1.6,0.86,2.255
4.540631665,1651,42.5,10.47,10.9,20.5,4.57,1.39,0.86,2.275
4.17438727,1648,43.3,9.98,12.3,18,4.78,1.35,1.11,2.78
4.312346714,1671,47.8,8.31,14.8,13.9,5.19,1.97,1.17,3.248
4.722953222,1634,40.8,9.75,14.4,17.1,5.35,2.42,1.08,2.73
4.322603214,1624,42.3,9.79,15.5,14.8,5.71,1.92,1.26,3.081
4.104707349,1649,42.1,7.97,15.2,16,5.73,2.19,1.31,3.257
4.125116221,1648,44.3,8.44,14.7,15.6,5.47,1.39,1.24,3.264
4.029806041,1634,41.4,10.15,18,13.1,5.86,1.79,1.46,3.087
3.772760938,1642,36.8,7.54,14.8,22.6,5.54,1.62,1.23,2.902
4.283586562,1639,34.7,8.01,14.6,22.4,5.39,2.49,1.59,2.502
4.071871706,1615,38.6,8.36,14.6,19.7,5.4,2.42,1.18,2.707
4.137829674,1641,41.6,11.57,13.9,16.6,6.16,1.37,1.19,3.035
4.32853795,1636,38.5,7.69,13.7,20.7,5.89,1.41,1.18,2.999
4.094344562,1633,39.7,8.2,14.9,19.1,5.85,1.17,1.23,3.023
4.540631665,1634,38.3,5.83,10.1,27.2,4.92,1.34,0.84,2.374
4.665794808,1618,42.8,8.11,10,21.9,5.17,1.24,0.8,2.596
4.369447852,1638,39.3,9.7,11.3,22.7,5.19,1.42,0.97,2.491
4.553876892,1626,34.8,7.52,11.9,26.4,5.18,1.35,0.92,2.346
4.23542316,1676,35,7.5,11.8,26.8,4.82,2.39,0.98,2.296
3.988984047,1693,39.6,10.11,8.9,22.8,5.39,1.58,0.87,2.536
4.738701579,1634,37.5,8.69,12.2,23.7,5.3,1.62,1.04,2.537
4.138796325,1637,30.4,6.09,10.1,32.7,5.1,1.63,0.86,2.265
3.988984047,1656,36.7,7.33,12,24.5,5.73,1.34,0.98,2.541
4.272025739,1655,38.2,9.26,12.4,22,5.93,1.25,1.1,3.001
4.39332619,1639,39.8,6.85,13.6,21.1,5.72,1.28,1.26,3.121
4.65396035,1638,39.4,7.69,12.9,21.7,5.47,1.33,1,2.624
4.261398647,1659,43,10.24,13.7,16.8,5.46,1.38,1.23,2.621
4.068369076,1640,37.6,7.99,13.1,22.4,5.1,1.65,1.09,2.643
3.834061464,1674,38,9.67,11.9,21.8,4.58,2.02,1.02,2.603
4.566948973,1630,41.5,9.56,12.3,18.4,5.92,1.99,0.94,2.405
4.418840608,1639,40,7.85,11.9,20.2,5.05,3.16,1.06,2.712
4.211557635,1633,42.18,9.32,13.12,17.73,5.21,1.88,1.16,2.75
4.115779843,1697,45.01,8.9,11.83,19.73,3.89,1.64,0.77,1.91
4.17438727,1626,35.26,7.61,13.07,26.38,4.64,1.59,0.89,2.22
4.498419816,1644,43.33,9.54,13.99,10.62,4.45,1.44,1.08,2.5
4.814504542,1621,40.17,7.948,11.93,20.28,5,3.21,1.05,2.66
4.641984159,1630,39.17,9.52,12.32,20.51,4.83,2.22,1,2.52
4.474808368,1628,43.2,9.2,14.2,17.6,4.31,2.17,0.99,2.39
4.929666232,1626,39.6,7.22,12.9,22,5.2,1.68,1.04,2.617
4.660740037,1629,38.6,8.53,11.4,23,4.67,2.17,0.88,2.284
4.299138975,1651,43.6,8.89,12.9,18.1,5.66,1.62,1.08,2.694
4.462069342,1610,35.8,6.39,11.3,25.9,5.5,1.57,1.05,2.561
4.633341063,1611,37.8,7.51,11.6,23.7,5.06,1.83,0.97,2.336
4.49980967,1624,39.1,8.68,12,21.3,5.11,2.23,1,2.363
4.605170186,1618,41.8,11.19,11,20,4.77,1.47,0.91,2.279
4.561367563,1642,41.6,9.22,10.1,22.8,4.02,1.29,0.89,2.2
4.48738715,1616,38.4,8.56,12.1,22.9,4.93,1.21,1.04,2.574
4.107083588,1646,35.8,7.66,12.3,24.2,5.23,2.01,1.11,2.71
4.513602992,1631,36,8.9,10.8,25,5.1,1.97,0.94,2.445
4.33946702,1632,41.6,9.71,11.7,20.5,4.49,1.55,0.88,2.254
4.579852378,1641,43,10.31,11.3,18.7,5.3,1.34,0.9,2.652
4.107083588,1652,37.5,7.85,14.9,21.7,5.06,2,1.08,2.769
4.647134385,1635,34.3,9.2,13.3,24.3,5.12,1.62,1,2.164
4.382026635,1658,43.8,10.19,12,20.3,4.97,2.01,0.99,2.65
4.161483865,1671,39.8,10.3,11.5,20.8,4.91,1.79,0.9,2.474
4.33073334,1654,39.6,9.51,11.4,21.3,4.82,1.8,0.93,2.506
3.786859862,1658,38,8.92,15.4,18.8,5.7,1.98,1.45,2.849
4.274137673,1699,43.6,9.14,14.4,17.8,4.29,2.21,1,2.382
4.751124099,1636,41.4,9.54,15.9,17.3,5.18,1.56,1.25,2.784
4.442651256,1625,39.3,9.81,10.9,21.7,5.06,1.86,0.94,2.699
4.007333185,1641,39,10.17,12.2,20.8,5.31,1.14,0.97,2.626
4.311409067,1631,42.3,8.89,12.8,18.5,5.24,1.57,1.05,2.807
3.899444223,1672,48.1,9.29,13.1,14.5,4.73,1.17,1.17,2.791
4.237445406,1662,46.5,9.53,10.8,16.8,5.25,1.29,1.12,3.118
4.39332619,1643,42.8,8.93,13,17.9,4.99,1.87,1.24,3.16
4.11787506,1647,44.4,11.84,13.4,15,4.65,1.92,1.16,2.892
4.540631665,1621,35.6,10.45,10.8,24.5,4.84,1.39,0.88,2.347
3.984343667,1651,42.1,9.36,12.9,17.4,5.28,2.62,1.1,3.002
4.032975616,1664,44.3,9.74,12.6,14.7,4.43,1.73,1.03,2.599
4.168452534,1628,39.2,9.89,13.1,19.3,5.24,1.93,1.06,2.717
4.10617902,1650,40.7,8.01,13.9,18.3,5.42,1.85,1.22,2.927
4.180286992,1658,41.5,8.85,14.3,17.1,5.72,1.65,1.24,2.885
4.051784948,1653,45,9.92,13.8,13.8,4.82,2.47,1.21,3.398
3.876090996,1704,43.9,8.47,13.1,16.7,4.62,2.57,1.09,3.034
4.350277936,1647,43.5,7.26,14.3,16.6,5.42,1.82,1.53,3.385
4.01863274,1641,43.5,7,14.8,16.8,4.75,2.01,1.21,3.139
4.311409067,1651,44.5,6.88,13.6,17.7,4.68,1.49,1.23,2.864
4.11787506,1652,44,7.49,15.1,16.4,4.67,1.66,1.28,2.984
4.226272105,1641,42.4,8.59,13.8,17.1,5.1,2.01,1.24,3.132
3.944812828,1663,42.4,9.03,13.1,17.7,5.32,1.21,1.13,3.068
4.045554398,1671,41.3,9.22,17.1,14.5,5.31,2.37,1.4,2.985
3.642359438,1655,40.6,8.41,14.09,18.22,5.04,2.49,1.26,2.82
4.220732445,1632,38.33,12.1,17.08,15.75,6.04,1.87,1.63,3.1
3.762306923,1656,44.43,9.47,13.96,15.7,4.99,1.43,1.19,3.18
4.079794781,1633,41.46,8.28,13.63,18.27,5.85,1.53,1.24,2.87
4.342805922,1637,41.76,9.27,14.65,16.32,5.7,2.13,1.17,3.28
4.334017415,1658,41.87,8.49,17.09,16.55,5.25,2.02,1.19,2.92
3.744142133,1645,44.09,9.22,14.82,14.98,5.03,1.32,1.26,3.15
4.301983927,1653,42.48,9.54,14.02,15.78,5.01,1.78,1.28,3.18
4.18531634,1670,44.97,8.39,14.19,15.01,4.8,1.71,1.17,2.99
4.191983032,1639,38.86,11.16,11.66,20.14,5.26,1.38,0.85,2.64
4.280930518,1641,42.02,9.32,15.12,15.47,5.29,1.69,1.17,2.94
4.012666531,1672,44.91,8.66,14.94,14.75,5.17,1.39,1.21,3.07
3.88955015,1637,42.8,7.46,14.1,18.7,5.15,1.75,1.04,2.85
3.725693427,1659,42.5,9.47,15.3,16,5.37,1.33,1.22,2.91
4.2603297,1629,41.3,8.88,13.9,19.8,5.36,1.1,1.15,2.74
4.726122796,1620,42.58,9.88,11.8,20.6,4.86,1.45,1.02,2.45
3.950111857,1634,42.33,9.93,15.15,17.11,5.59,0.88,1.14,2.88
4.237445406,1621,41.39,10.13,13.64,19.47,4.98,1.37,1.07,2.7
3.818932582,1643,39.64,3.75,16.39,18.18,5.27,1.55,1.22,2.56
3.506557897,1652,41.9,8.89,13.8,18.2,5.55,0.93,1.07,2.952
4.524201123,1657,40.7,8.77,14.3,19,5.51,1.09,1.05,2.737
4.48738715,1624,39.3,7.53,11.6,23.9,5.05,1.67,0.9,2.606
4.094344562,1660,38.5,8.1,14.4,20.3,5.21,1.59,0.98,2.459
4.548011772,1637,43,8.74,14.1,17,4.76,1.84,1,2.904
4.512079763,1617,41.2,7.78,13,20,5.07,1.74,0.92,2.788
4.094344562,1647,37.8,7.05,13.7,22.4,4.93,2.32,0.97,2.531
4.10617902,1658,41.3,10.37,13,17.4,5.11,1.7,1.05,3.011
4.0133755,1670,43.8,10.3,12.5,17.8,5.04,1.33,1.03,2.947
4.22439769,1631,42.7,10.41,13.2,17.8,4.98,1.34,0.99,2.647
4.10617902,1656,41.5,10.34,13.1,17.4,5.07,1.71,1.06,3.008
4.841558964,1635,43.3,8.28,11.2,20.8,4.84,1.34,0.85,2.636
4.48738715,1636,42.9,8.97,12.7,19.4,5.06,1.63,0.98,2.547
4.553876892,1622,40.2,10.82,11.9,19.9,5.26,1.27,0.95,2.414
3.824054232,1676,46.1,10.01,14.1,14.6,5.05,1.69,1.12,2.924
4.270235229,1627,39.5,8.2,13,18.4,5.7,2.12,1.35,3.106
4.219507705,1659,42.03,9.386,12.83,17.75,4.76,2.54,0.84,2.65
4.544261433,1633,38.03,8.733,12.33,19.44,4.36,2.52,0.82,2.43
3.218875825,1687,39.3,7.92,16.83,15.66,4.39,1.5,1.07,2.5
4.409425609,1644,40.97,6.63,13.97,20.69,4.37,2.26,0.89,2.12
3.401197382,1671,46.83,7.99,13.55,16.86,4.5,1.87,1.04,2.42
3.784189634,1668,49.46,8.39,13.35,15.1,4.95,1.42,1.18,2.94
4.763394191,1623,43.95,8.12,13.17,18.4,4.44,1.7,0.96,2.47
4.359037116,1651,46.21,7.73,13.6,16.3,4.44,2.92,1.04,2.69
4.370597939,1666,46.93,8.054,12.24,17.19,4.63,1.96,1.07,2.76
4.58269733,1649,43.69,7.37,11.52,20.24,4.64,1.15,0.97,2.63
4.566948973,1640,43.2,8.1,12.97,20,4.28,1.79,1.09,2.31
4.617592706,1638,42.73,6.95,12.85,21,4.49,1.73,0.93,2.35
4.359037116,1648,43.84,7.71,12.02,20.54,4.82,1.31,0.95,2.53
3.946708563,1686,41.42,7.29,14.78,17.62,5.46,2.13,1.13,2.78
4.775515552,1616,41.7,8.49,13.5,18.97,5.02,1.36,1.01,2.44
4.49980967,1640,40.98,8.33,13.7,20.5,5.19,1.51,0.89,2.3
3.976561527,1706,42.8,8.53,12.76,19.4,4.52,1.28,0.83,2.47
4.057976918,1676,42.4,8.38,12.04,19.7,4.44,1.59,0.89,2.43
3.733331217,1665,43.4,7.87,13.99,17,4.85,1.7,1.04,2.91
4.02646714,1674,41.69,7.89,16.4,18.01,5.46,1.52,1.2,2.89
4.33946702,1652,37.43,7.51,12.55,22.84,5.47,2.12,1.02,2.76
4.248495242,1652,42.07,8.42,15.32,16.45,5.37,1.35,1.12,2.99
4.116323469,1639,38.9,8.45,15.83,18.8,5.53,1.26,1.21,2.63
4.060443011,1646,37.7,8.88,15.8,19.5,5.12,1.17,1.11,2.71
4.335506619,1673,39.51,9.32,13.32,21.1,4.73,1.27,0.48,2.44
3.944812828,1669,44.28,9.19,16.12,14.09,4.98,1.88,1.18,3.15
4.083171262,1698,41.14,7.89,12.86,20.09,4.92,1.43,0.98,2.96
3.912023005,1664,44.8,10.76,12.53,16.56,4.59,0.91,0.99,2.37
4.435567402,1680,44.67,9.13,14.27,17.07,4.43,1.42,1.04,2.55
4.568967137,1657,43.47,8.47,13.31,18.27,4.64,1,1.08,2.59
4.304065093,1669,43.93,7.96,10.83,21.82,4.37,1.15,0.89,2.23
4.286716455,1651,50.25,8.385,11.55,15.78,4.08,0.97,0.91,2.35
4.471638793,1667,40.4,7.704,12.04,22.03,4.68,1.07,0.97,2.58
4.139158578,1668,45.23,9.09,13.84,15.2,4.84,1.19,1.12,3.01
4.32853795,1670,44.02,8.573,12.37,18.33,4.86,0.91,0.99,2.81
4.165960254,1711,43.3,7.72,9.32,23.24,4.23,1.03,0.72,2.14
4.326337729,1646,44,7.318,13.14,18.47,4.92,0.88,0.96,2.56
4.02037903,1653,45.09,8.67,16.74,13.32,5.13,1.2,1.38,3.07
3.600731067,1665,42.68,8.53,15.45,16.73,4.86,1.07,1.16,2.67
4.680973149,1634,40.44,7.63,12.28,21.74,5,1.06,0.99,2.52
4.65396035,1638,40.22,7.465,11.31,23.41,4.69,1.21,0.9,2.38
4.854631046,1624,44.99,6.46,11.1,21.59,4.5,1.32,0.85,2.27
4.371976299,1671,45.2,6.45,11.13,21.53,4.51,1.33,0.85,2.26
4.512079763,1625,40.19,7.77,11.54,22.26,4.45,1.4,0.99,2.45
4.677490848,1629,41.59,7.38,12.14,21.34,4.59,1.08,1.05,2.56
4.462069342,1634,39.52,9.58,10.43,23.51,4.53,0.81,0.89,2.22
4.347341077,1670,42.95,8.73,11.42,20.97,4.8,1.46,1,2.59
4.323530428,1646,42.3,8.17,11.6,20,4.72,1.72,1.03,2.603
4.074541935,1637,41.2,7.41,13.8,19.2,5.44,1.31,1.17,2.95
4.221344253,1648,41.9,7.55,15.8,16.6,5.43,1.11,1.36,3.34
3.983118927,1666,44.8,8.6,16,13.8,5.02,1.28,1.36,3.387
4.311409067,1659,42.8,10.35,13.1,17.7,4.95,1.36,0.99,2.601
4.356708827,1653,38.6,7.99,14.4,20.2,5.17,1.6,0.98,2.459
4.290459441,1645,42,8.94,12.5,19.6,4.49,1.51,0.98,2.279
4.295015258,1663,45.5,9.84,13,15.3,4.77,1.27,1.04,2.947
4.481117537,1674,40.5,7.14,11.5,20.7,5.87,1.28,0.94,2.832
4.270235229,1666,43.4,8.28,12.4,18.6,4.86,1.05,1.09,2.845
4.283586562,1657,43.7,8.71,11.9,17.8,4.79,1.7,1.08,2.734
4.238925791,1667,44.4,9.38,12.6,16.5,5.28,1.32,1.04,2.999
4.283586562,1643,45.3,7.51,12.4,17.9,4.58,1.43,1.1,2.652
4.43279896,1653,43.5,9.06,12.3,17.9,5.32,1.43,1.03,2.771
4.336356598,1640,38.4,7.2,13,21.9,6.09,1.71,1.06,2.807
4.158883083,1681,38.8,7.28,11.3,22.7,5.45,1.41,0.87,2.621
4.536177315,1645,38.9,7.42,12.5,23.5,4.78,2.06,0.94,2.452
4.49980967,1653,40.3,7.32,11.4,22.9,4.49,1.4,0.95,2.393
4.700480366,1635,41.1,8.44,12.5,20.3,5.03,1.44,1.09,2.801
4.32853795,1654,42.5,8.11,13.3,18.9,4.98,1.84,1.09,2.621
3.886705197,1688,41.9,8.12,16.4,17.6,4.4,1.14,0.99,2.069
4.605170186,1651,39.9,8.4,11.9,21.6,4.91,1.31,0.96,2.581
4.280930518,1664,43.2,7.94,13.1,19.3,5.28,1.81,1.08,2.965
4.261398647,1638,38.2,7.81,9.2,25.9,4.61,1.15,0.8,2.445
4.041700829,1661,42.1,8.97,12.6,19.6,4.48,1.65,0.98,2.293
4.536177315,1632,43.3,8.39,13.4,18.2,4.62,1.03,1.1,2.607
4.248495242,1640,39.5,9.52,10.5,23.4,4.53,0.86,0.91,2.289
3.472656346,1662,34.3,10.4,10.6,27,3.81,2.01,0.57,1.64
4.520580118,1659,40.15,9.73,18.07,15.35,5.69,1.23,1.36,2.76
4.474808368,1652,42.03,9.69,14.1,18.84,4.94,1.73,1.1,2.63
4.42539085,1678,39.61,8.25,12.71,23.17,4.97,1.18,0.99,2.87
4.726122796,1645,37.18,7.88,10.52,25.65,4.63,1.66,0.79,2.29
4.49980967,1638,37.76,7.46,12.55,23.39,4.93,1.68,1.04,2.3
4.462069342,1628,40.2,7.15,11.48,22.35,5.08,1.92,0.82,2.33
4.064491599,1690,45.3,8.85,13.24,15.94,5.15,1.64,1.2,3.31
4.86753445,1614,38.79,7.34,11.05,23.79,5.03,1.8,0.98,2.69
4.323530428,1685,37.9,7.89,10.5,25.2,4.86,1.43,0.88,2.67
4.359037116,1663,43.5,8.69,14.3,17.6,4.42,2.32,0.88,2.72
4.2603297,1656,39.1,8.08,12.4,22.4,5.03,1.59,1.04,2.63
4.2603297,1663,36.6,9.23,11.5,24.4,5.24,1.6,0.94,2.69
4.295015258,1677,43.6,9.7,12.4,17.6,4.78,1.47,1.03,2.69
4.442651256,1625,39.7,8.12,10.83,25.7,4.78,1.79,0.79,1.96
4.700480366,1614,38.4,7.99,11.1,24,4.82,1.77,0.9,2.21
4.465908119,1654,39.7,7.43,11.1,23.4,4.71,1.22,0.95,2.65
4.605170186,1642,39.5,8.11,13.5,22.5,5.43,1.54,1.11,2.78
4.368040393,1666,32.96,7.97,10.6,29.1,4.78,1.46,0.88,2.23
3.731154937,1673,39.14,10.37,14,17.87,5.91,1.55,1.25,3.15
4.107354799,1673,39.82,8.64,12.52,20.54,5.3,1.34,1.09,2.75
4.65396035,1635,41.07,8.17,11.52,21.83,4.9,1.27,0.92,2.53
4.388821678,1638,42.68,9.14,16.11,15.02,5.6,1.82,1.38,2.77
3.972647627,1654,44.07,10.01,14.03,15.26,5.05,1.56,1.24,2.68
4.634728988,1618,40.73,8.32,13.5,18.57,5.51,2.01,1.22,2.86
4.465908119,1643,40.88,8.4,11.65,21.37,4.96,1.23,1.06,2.63
4.163337434,1685,43,8.54,11.3,19.9,5.02,1.35,1.06,2.8
4.084492266,1647,43,9.53,12,17.9,5.2,1.45,1.11,3.22
4.248495242,1663,42.3,9.13,11.9,19.1,5.01,2.09,1.11,2.9
3.923072842,1664,40.2,8.84,15.6,17.2,5.56,1.94,1.43,3.12
4.360973225,1663,42.7,7.69,12.8,19.1,5.13,1.35,1.15,3.06
3.890745607,1674,43.6,9.15,13.8,16.1,5.05,1.55,1.16,3.04
4.11787506,1652,43.18,7.56,14.42,16.81,4.91,1.62,1.12,2.55
4.248495242,1668,44.44,9.16,11.85,17.8,4.74,1.91,1.07,2.77
4.182637169,1630,36.76,9.2,11.73,23.37,4.86,1.74,1.07,2.59
4.248495242,1653,44.9,8.17,12.09,16.76,4.66,2.08,1.06,2.8
4.726122796,1641,40.67,10,9.94,22.24,4.4,1.31,0.83,2.28
4.156476343,1670,41.7,9.29,11.9,19.9,5.23,1.46,1.04,2.655
4.33073334,1656,37.7,9.26,10.8,23.3,5.15,1.24,0.98,2.403
4.08035832,1696,41.2,8.32,11.2,21.6,4.61,1.33,0.89,2.252
4.513602992,1652,38.6,7.16,11,24.6,4.61,1.69,0.9,2.261
4.527208645,1648,38,6.12,9,27,4.99,1.34,0.76,2.195
4.369447852,1644,39.6,9.05,8.8,23.6,4.96,1.59,0.75,2.299
4.291512627,1650,44,9.78,12.1,16.7,5.7,1.97,1.19,2.985
4.48863637,1660,45.1,8.85,10,18.6,4.59,1.67,0.89,2.752
3.688879454,1661,44.9,9.42,13.6,13.5,4.18,1.8,1.07,2.448
4.071871706,1671,47.9,10.34,12,18.2,3.63,1.17,0.81,2.569
3.700179009,1654,47.3,12.76,12.8,14.8,2.95,1.63,0.8,2.606
3.593569274,1654,47.6,11.68,15.8,12.6,3.67,1.23,1,2.463
4.248495242,1663,44.51,8.58,13.58,16.42,4.98,1.54,1.14,2.86
4.172017601,1660,42.82,8.59,13.37,18.72,4.53,1.18,1.03,2.5
4.460144414,1659,47.91,9.22,11.75,18.06,4.17,1.51,1.04,1.89
4.382026635,1661,46.36,11.26,13.5,15.69,3.45,1.21,0.97,1.94
4.592591404,1662,50.51,12.1,11.64,14.64,2.93,1.05,0.73,1.78
4.236519051,1670,49.89,11.23,12.7,15.82,2.58,1.01,0.68,1.83
4.10617902,1682,53.14,9.86,14.24,13.37,2.42,0.82,0.72,2.08
3.781661188,1685,51.25,11.26,14.96,12.57,2.83,0.94,0.89,2.082
5.064702515,1638,51.6,8.43,13,16,2.46,1.14,0.75,2.03
4.507189778,1663,44.44,8.85,12.9,19.16,2.84,2.29,0.74,1.912
4.455638452,1649,44.37,8.57,13.98,18.13,4.53,1.79,0.9,2.106
4.346687268,1687,44.09,10.99,10.13,20.81,2.98,1.53,0.69,1.743
4.035504062,1685,42.42,8.5,14.28,20.56,4.41,1.74,0.88,2.362
4.231688124,1657,40.64,7.663,12.78,20.65,4.45,1.96,0.78,2.456
4.447346101,1618,37.98,8.139,11.54,24.17,4.73,1.4,0.86,2.568
4.544476117,1629,39.69,8.697,11.25,24.17,4.6,1.48,0.86,1.3
4.474808368,1652,39.16,8.4,14.13,22.87,4.6,1.5,1.14,2.4
4.394449155,1624,37.95,8.12,13.28,23.04,4.71,1.55,1.06,2.46
4.199705078,1626,37.7,8.93,14.3,22.3,4.87,2.66,1.12,2.727
4.148411783,1657,36.3,7.32,15,23.1,4.63,2.42,1.05,2.527
4.368040393,1654,35.5,7.71,11.8,26.3,4.27,1.51,0.95,2.323
4.107083588,1659,37.8,7.9,12.4,23.4,4.82,1.77,1.06,2.587
4.647134385,1643,38.7,7.51,11.6,24.7,4.03,1.2,0.75,2.233
4.436093856,1658,46.4,8.92,12.9,18.3,3.86,1.22,0.85,2.422
4.212127598,1658,43.6,7.75,12.7,19.8,4.36,1.96,0.91,2.356
4.382026635,1656,40.1,7.23,12.6,23.1,4.56,1.88,0.83,2.159
4.633341063,1665,39.9,6.6,10.1,25.6,3.8,1.51,0.67,1.921
4.394449155,1669,39.1,8.08,11.8,23,4.44,1.8,0.79,2.024
4.16924587,1664,39,8.34,13.5,20,5.48,1.69,1.08,2.904
3.951243719,1689,35.6,7.95,10.4,26.7,4.75,1.6,0.85,2.51
4.382026635,1645,43.2,9.78,10.8,18.6,4.06,1.4,0.76,2.076
3.963982744,1680,41.9,9.74,12.4,20.1,4.46,1.5,0.86,2.468
4.532599493,1657,35.8,9.29,12,22.7,5.41,2.3,0.95,2.946
4.310053135,1625,43.3,9,14.3,20,3.36,1.19,0.75,1.886
4.590781449,1673,45,8.86,12.7,20.7,3.11,1.06,0.72,1.922
4.222177934,1644,45.5,9.36,12.8,19.3,3.26,0.89,0.7,2.072
4.261398647,1674,45.8,6.93,11.5,19,4.05,1.59,0.93,2.43
4.153185062,1693,49.2,9.31,13.9,16.1,3.58,1.01,0.95,2.065
4.406719247,1657,45.3,7.17,12.2,20.6,4.23,1.53,0.95,2.584
4.306314813,1661,48.4,8.8,12.8,15.8,3.27,1.4,0.91,2.345
4.161483865,1692,46.8,7.76,13.2,16.5,3.78,1.36,1.01,2.342
4.713383771,1660,45.6,8.25,11.6,20.2,3.44,1.56,0.84,2.072
4.001971242,1661,45,8.52,13.9,15.8,4.99,1.82,1.3,3.131
4.350277936,1694,42.8,8.93,10,23.6,2.58,1.2,0.66,1.534
3.97174224,1692,49.9,11.95,15.3,13.5,3.29,1.04,0.73,1.801
4.462069342,1630,37.8,7.68,11.3,24.9,4.52,1.08,0.76,2.333
4.359037116,1622,38.6,7.68,13.3,20.7,4.96,2.37,1.13,2.633
4.422848629,1652,41.4,7.93,11.6,22.2,3.91,1.35,0.81,2.183
4.129435882,1659,43.1,10.2,13.5,17.7,3.84,2.1,0.81,2.273
4.051784948,1657,41.2,8.84,15.6,16.8,5.31,1.42,0.95,2.675
3.935279868,1643,36.7,9.25,15,20.6,5.66,2.3,1.1,2.907
3.972647627,1685,44.3,9.62,14.6,15.2,4.78,1.67,1.12,2.71
4.641984159,1644,43.9,9.42,14.1,18.3,4,1.49,0.93,2.138
4.68905167,1623,39.7,8.76,13.7,20.6,4.13,1.39,0.86,2.152
4.540631665,1632,42.2,7.81,12.3,20.7,4.44,1.64,0.84,2.213
4.617592706,1660,45.4,9.32,11.7,19.5,3.37,1.17,0.74,2.061
4.11966237,1664,41.3,8.3,14,19.5,4.7,1.7,0.96,2.515
4.566948973,1631,42.8,9.48,12.9,20.7,3.82,1.41,0.85,2.054
4.144354983,1632,38.2,8.09,14.7,20.9,5.05,1.49,1.13,2.541
4.037186148,1650,40.9,8.95,14.7,18.9,4.8,1.57,1.17,2.705
4.306314813,1634,38.5,8.06,15.1,20.3,5.32,1.95,1.25,2.906
4.641984159,1623,44.1,11.61,12,17.6,3.56,1.33,0.83,2.246
4.641984159,1646,43.3,10.87,11.8,18.5,3.78,1.31,0.85,2.244
4.436093856,1659,43.5,11.62,10.3,18.5,4.31,1.58,0.9,2.412
4.219507705,1688,46.9,9.41,10.5,19.2,2.98,1.3,0.75,1.999
4.311409067,1656,43.7,8.79,11.3,19.6,4.14,1.65,0.94,2.56
3.884994333,1656,47,11.27,14.2,13.6,4.26,1.28,1.16,2.356
4.700480366,1617,46.5,8.04,13.8,16.5,3.73,1.41,1.02,2.328
4.272025739,1634,38.8,7.75,13.4,20.9,5.02,2.42,1.14,2.661
4.051784948,1627,44.3,11.56,14.7,15.5,4.12,1.28,0.98,2.025
4.187126296,1650,36.8,10.64,12.9,20.2,5.88,1.74,1.2,2.685
4.323530428,1631,39.2,10.39,13.6,19.7,5.31,1.91,1.11,2.62
3.700713912,1667,43.6,9.41,15.5,15.2,5.34,1.74,1.32,2.947
4.212127598,1634,38.9,9.76,14.1,18.5,5.79,1.77,1.24,2.687
4.536177315,1616,39.5,9.84,14.3,18.4,5.58,1.67,1.24,2.739
4.621699488,1655,40.4,7.23,12,23,4.19,1.76,0.82,1.796
4.068369076,1660,38.4,7.79,13.3,21.6,5.18,2.17,1.12,2.406
3.630383247,1689,48,10.37,14.7,11.7,4.73,1.59,1.41,3.078
4.068369076,1662,46.3,11.3,12.5,15,4.78,1.32,1.04,2.463
3.605991794,1674,44.8,11.42,13.1,13.3,4.49,2.57,1.18,2.737
4.311409067,1671,46.6,10.1,13.5,15,4.93,2.07,1.13,2.692
3.96081317,1668,46.1,9.31,14.1,15.1,4.86,1.57,1.05,2.767
3.873801793,1655,42.7,12.31,13,15.8,4.98,2.11,0.97,2.616
3.784189634,1671,42.1,9.15,15.4,15.9,5.55,1.81,1.28,3.068
4.11787506,1674,43,8.72,15.4,15.6,5.48,1.92,1.34,3.037
3.251665648,1702,31.7,11.93,10.5,27.3,5.17,1.83,0.94,2.223
4.295015258,1629,38.8,7.13,14.1,20.9,6.09,1.7,1.21,2.733
4.129435882,1632,40.2,7.88,15.8,17.9,5.92,1.57,1.28,2.737
4.726122796,1619,35.9,7.11,12,25.3,5.08,1.49,0.99,2.509
4.311409067,1619,36.2,7.28,11.8,24.8,5.24,1.68,0.98,2.435
3.764102875,1626,29.1,6.81,10.7,32,4.91,1.75,0.9,2.077
4.012666531,1626,39.9,7.81,16.7,16.4,6.23,1.67,1.38,2.864
4.007333185,1642,39,7.37,16.1,17,6.52,2.86,1.4,3.18
4.584967479,1618,37.9,8.43,15,17.6,6.58,2.83,1.42,3.195
4.18531634,1632,41.8,8.33,14.4,17.3,5.38,2.07,1.2,2.675
3.80666249,1621,33,6.22,11,13.9,5.03,1.99,0.95,2.251
